size,amount,matchSize,plugins,usefulMatches,totalMatches
9,4,6,"hiddenPairs, nFish, pointingArrows, removeByElements",460,747
9,4,3,"hiddenPairs, nFish, pointingArrows, removeByElements",3015,7774
9,4,5,"hiddenPairs, nFish, pointingArrows, removeByElements",851,1523
9,4,2,"hiddenPairs, nFish, pointingArrows, removeByElements",7210,25760
9,4,8,"hiddenPairs, nFish, pointingArrows, removeByElements",23,52
9,4,4,"nFish, nakedPairs, pointingArrows, removeByElements",924,4511
9,4,7,"nFish, nakedPairs, pointingArrows, removeByElements",7,525
9,4,1,"nFish, nakedPairs, pointingArrows, removeByElements",13871,52032
9,4,6,"nFish, nakedPairs, pointingArrows, removeByElements",60,1051
9,4,3,"nFish, nakedPairs, pointingArrows, removeByElements",2124,10134
9,4,5,"nFish, nakedPairs, pointingArrows, removeByElements",371,2229
9,4,2,"nFish, nakedPairs, pointingArrows, removeByElements",4799,27640
9,4,8,"nFish, nakedPairs, pointingArrows, removeByElements",0,97
9,5,4,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",1401,2901
9,5,7,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",215,334
9,5,1,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",16019,31051
9,5,6,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",455,726
9,5,3,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",2736,6710
9,5,2,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",6418,21543
9,5,5,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",816,1422
9,5,8,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",23,51
16,2,1,"hiddenPairs, nFish",68496,131278
16,2,2,"hiddenPairs, nFish",25558,154158
16,2,6,"hiddenPairs, nFish",765,1740
16,2,4,"hiddenPairs, nFish",3555,10885
16,2,3,"hiddenPairs, nFish",9065,38159
16,2,5,"hiddenPairs, nFish",1596,4206
16,2,8,"hiddenPairs, nFish",238,578
16,2,9,"hiddenPairs, nFish",141,356
16,2,11,"hiddenPairs, nFish",44,112
16,2,13,"hiddenPairs, nFish",8,32
16,2,12,"hiddenPairs, nFish",21,100
16,2,7,"hiddenPairs, nFish",474,1010
16,2,10,"hiddenPairs, nFish",82,263
16,2,1,"nFish, pointingArrows",11783,399302
16,2,3,"nFish, pointingArrows",1195,8118
16,2,5,"nFish, pointingArrows",196,722
16,2,2,"nFish, pointingArrows",6089,63351
16,2,12,"nFish, pointingArrows",1,5
16,2,7,"nFish, pointingArrows",54,128
16,2,4,"nFish, pointingArrows",317,1590
16,2,10,"nFish, pointingArrows",3,8
16,2,9,"nFish, pointingArrows",3,12
16,2,6,"nFish, pointingArrows",80,243
16,2,8,"nFish, pointingArrows",21,59
16,2,11,"nFish, pointingArrows",1,3
16,2,1,"nFish, removeByElements",57217,498169
16,2,2,"nFish, removeByElements",16193,142085
16,2,4,"nFish, removeByElements",2668,19344
16,2,5,"nFish, removeByElements",1168,8672
16,2,6,"nFish, removeByElements",519,3995
16,2,3,"nFish, removeByElements",6488,47852
16,2,8,"nFish, removeByElements",80,922
16,2,7,"nFish, removeByElements",228,1855
16,2,12,"nFish, removeByElements",0,60
16,2,9,"nFish, removeByElements",28,401
16,2,10,"nFish, removeByElements",9,247
16,2,11,"nFish, removeByElements",4,109
16,2,13,"nFish, removeByElements",0,18
16,3,1,"hiddenPairs, nFish, nakedPairs",56559,106721
16,3,2,"hiddenPairs, nFish, nakedPairs",22886,124493
16,3,6,"hiddenPairs, nFish, nakedPairs",709,1539
16,3,4,"hiddenPairs, nFish, nakedPairs",3294,9012
16,3,3,"hiddenPairs, nFish, nakedPairs",8326,31382
16,3,5,"hiddenPairs, nFish, nakedPairs",1530,3614
16,3,8,"hiddenPairs, nFish, nakedPairs",241,545
16,3,9,"hiddenPairs, nFish, nakedPairs",133,359
16,3,11,"hiddenPairs, nFish, nakedPairs",43,98
16,3,13,"hiddenPairs, nFish, nakedPairs",8,29
16,3,12,"hiddenPairs, nFish, nakedPairs",19,90
16,3,7,"hiddenPairs, nFish, nakedPairs",468,971
16,3,10,"hiddenPairs, nFish, nakedPairs",80,226
16,3,1,"hiddenPairs, nFish, pointingArrows",52329,92997
16,3,2,"hiddenPairs, nFish, pointingArrows",21534,98072
16,3,4,"hiddenPairs, nFish, pointingArrows",2609,6845
16,3,6,"hiddenPairs, nFish, pointingArrows",520,1150
16,3,3,"hiddenPairs, nFish, pointingArrows",6874,23237
16,3,5,"hiddenPairs, nFish, pointingArrows",1157,2697
16,3,8,"hiddenPairs, nFish, pointingArrows",201,435
16,3,9,"hiddenPairs, nFish, pointingArrows",128,237
16,3,11,"hiddenPairs, nFish, pointingArrows",43,67
16,3,13,"hiddenPairs, nFish, pointingArrows",8,16
16,3,12,"hiddenPairs, nFish, pointingArrows",20,64
16,3,7,"hiddenPairs, nFish, pointingArrows",368,686
16,3,10,"hiddenPairs, nFish, pointingArrows",76,128
16,3,1,"hiddenPairs, nFish, removeByElements",53231,92847
16,3,2,"hiddenPairs, nFish, removeByElements",21887,95673
16,3,4,"hiddenPairs, nFish, removeByElements",2676,6737
16,3,6,"hiddenPairs, nFish, removeByElements",519,1151
16,3,3,"hiddenPairs, nFish, removeByElements",7252,22470
