size,amount,plugins,amountUnsolved,completenessNoCandidates,completenessWithCandidates,packageRounds,packageCompletenessNoCandidates
16,3,nFish,402.83,0.55,0.89,5.95,0.44
16,3,pointingArrows,319.33,0.55,0.90,5.93,0.44
16,3,removeByElements,347.17,0.56,0.90,6.11,0.43
16,4,"hiddenPairs, nakedPairs, pointingArrows, removeByElements",46,0.63,0.92,8.74,0.41
16,4,"hiddenPairs, nFish, nakedPairs, pointingArrows",13,0.56,0.90,9.00,0.41
16,4,"hiddenPairs, nFish, nakedPairs, removeByElements",95,0.57,0.90,8.83,0.40
16,4,"hiddenPairs, nFish, pointingArrows, removeByElements",46,0.59,0.91,8.37,0.41
16,4,"nFish, nakedPairs, pointingArrows, removeByElements",209,0.54,0.89,7.75,0.41
16,4,hiddenPairs,50.00,0.59,0.91,8.71,0.41
16,4,nakedPairs,90.75,0.56,0.90,8.20,0.41
16,4,nFish,90.75,0.56,0.90,8.15,0.41
16,4,pointingArrows,78.50,0.56,0.90,8.04,0.41
16,4,removeByElements,99.00,0.56,0.90,8.19,0.41
